FlowCell Text Data File: yeast-undigested.csv
Software Version: 1.44A
Date: 2018-01-23
Time: 13:40:49
User: Kai

Experiment name: 

*** CENTRIFUGE SETTINGS ***
Rotor Manufacturer: Beckman
Rotor Model: SW40Ti
Speed: 35 rpm
Gradient: Succ 5.0% to 45.0% v/v
Time: 2,5
w2t:  x 10^0
Number of Tubes: 2
Sample Volume:  ml
Temperature: 4.0 deg C

*** FRACTIONATION SETTINGS ***
Volume displaced/mm: 0.143 ml/mm
Tubing length: 280 mm
Total Dead Volume (= last fraction): 0.294 ml
Scan Speed: 0.25 mm/sec
Total Distance: 84.8 mm
Upper Limit to Slow-down Distance: 37.50 mm
Start mode: Slow-down distance
Fail-safe Distance (M): 0 mm
Number of fractions: 40
Distance/fraction: 2.12 mm
Volume/fraction: 0.302 ml
Data Samples/mm: 15.04

*** SCANNING SETTINGS ***
Channel A (LED1) Wavelength: 260 nm
Sensitivity: 0
Integration time: 266 ms
PD1 (260 nm) On Time: 56 ms
Sample A Zero: 869632
Source A Zero: 316282.4

Data Columns:
Sample, Source, Position(mm), Absorbance, Fraction Number, Fraction Volume(ml)
670637, 315906, 24.66, 0.529228, , 
669613, 315865, 24.72, 0.532089, , 
675242, 315846, 24.79, 0.514838, , 
674187, 315910, 24.86, 0.518451, , 
674816, 315958, 24.93, 0.516854, , 
677731, 315789, 25.00, 0.506940, , 
677322, 315776, 25.06, 0.508091, , 
676815, 315750, 25.13, 0.509455, , 
680037, 315809, 25.19, 0.500119, , 
678779, 315715, 25.26, 0.503299, , 
681669, 315708, 25.33, 0.494560, , 
683348, 315794, 25.39, 0.490084, , 
680225, 315896, 25.46, 0.500117, 12, 0.303
681627, 315790, 25.53, 0.495218, , 
680971, 315845, 25.59, 0.497544, , 
681635, 315851, 25.66, 0.495589, , 
686585, 315780, 25.72, 0.480324, , 
684330, 315791, 25.79, 0.487127, , 
679483, 315688, 25.86, 0.501003, , 
689242, 315791, 25.92, 0.472492, , 
685770, 315841, 25.99, 0.483150, , 
686985, 315844, 26.05, 0.479547, , 
689477, 315766, 26.12, 0.471633, , 
687127, 315781, 26.18, 0.478716, , 
689350, 315886, 26.25, 0.472787, , 
691198, 315865, 26.32, 0.467173, , 
687133, 315968, 26.38, 0.479909, , 
689597, 316023, 26.45, 0.472941, , 
688284, 315947, 26.52, 0.476349, , 
685800, 315898, 26.58, 0.483429, , 
691179, 315982, 26.65, 0.467987, , 
689726, 315922, 26.72, 0.471905, , 
686686, 315921, 26.78, 0.480937, , 
691336, 315814, 26.85, 0.466435, , 
691731, 315880, 26.91, 0.465693, , 
687239, 315871, 26.99, 0.478966, , 
691727, 315926, 27.05, 0.466003, , 
691963, 315846, 27.12, 0.464787, , 
689949, 315829, 27.19, 0.470641, , 
693395, 315768, 27.25, 0.460052, , 
691318, 315860, 27.32, 0.466786, , 
689055, 315841, 27.39, 0.473372, , 
689291, 315845, 27.45, 0.472697, , 
689910, 315711, 27.52, 0.469992, , 
689405, 315781, 27.58, 0.471944, 13, 0.303
691872, 315876, 27.65, 0.465250, , 
690261, 315925, 27.72, 0.470338, , 
689802, 315801, 27.78, 0.470895, , 
691018, 315732, 27.85, 0.466845, , 
689969, 315746, 27.92, 0.470044, , 
689604, 315722, 27.98, 0.470971, , 
691415, 315836, 28.05, 0.466343, , 
690422, 315803, 28.12, 0.469070, , 
691408, 315780, 28.18, 0.466001, , 
691635, 315818, 28.25, 0.465576, , 
689875, 315753, 28.31, 0.470368, , 
690011, 315827, 28.38, 0.470444, , 
688704, 315870, 28.44, 0.474602, , 
688030, 315858, 28.51, 0.476528, , 
691352, 315929, 28.58, 0.467132, , 
688869, 315821, 28.64, 0.473794, , 
685448, 315763, 28.71, 0.483605, , 
690740, 315942, 28.77, 0.469028, , 
688122, 315954, 28.84, 0.476876, , 
689255, 316006, 28.91, 0.473846, , 
689965, 316003, 28.97, 0.471720, , 
688168, 316009, 29.04, 0.477095, , 
689707, 315859, 29.11, 0.471553, , 
689947, 315854, 29.18, 0.470809, , 
685951, 315753, 29.25, 0.482039, , 
687634, 315976, 29.31, 0.478470, , 
685668, 315841, 29.38, 0.483454, , 
683299, 315735, 29.45, 0.489849, , 
685145, 315852, 29.51, 0.485086, , 
683217, 315822, 29.58, 0.490658, , 
680262, 315656, 29.64, 0.498451, , 
681728, 315699, 29.71, 0.494325, 14, 0.303
680654, 315803, 29.78, 0.498225, , 
675936, 315762, 29.84, 0.512191, , 
677562, 315763, 29.91, 0.507282, , 
675812, 315695, 29.98, 0.512133, , 
674208, 315750, 30.04, 0.517351, , 
673968, 315830, 30.11, 0.518598, , 
670207, 315781, 30.17, 0.529731, , 
666741, 315647, 30.24, 0.539471, , 
665223, 315711, 30.31, 0.544550, , 
662393, 315748, 30.37, 0.553513, , 
659855, 315757, 30.44, 0.561426, , 
658833, 315663, 30.51, 0.563988, , 
655450, 315680, 30.57, 0.574632, , 
653964, 315646, 30.64, 0.579056, , 
651678, 315626, 30.70, 0.586091, , 
648366, 315625, 30.77, 0.596510, , 
645840, 315667, 30.83, 0.604769, , 
644409, 315725, 30.90, 0.609684, , 
642240, 315648, 30.97, 0.616083, , 
641194, 315674, 31.03, 0.619587, , 
639366, 315674, 31.10, 0.625428, , 
636586, 315725, 31.16, 0.634675, , 
633708, 315708, 31.24, 0.643836, , 
631528, 315741, 31.31, 0.651101, , 
629770, 315761, 31.37, 0.656934, , 
628703, 315867, 31.44, 0.661091, , 
626006, 315882, 31.50, 0.669984, , 
623429, 315938, 31.57, 0.678787, , 
622196, 315880, 31.64, 0.682462, , 
620029, 315825, 31.70, 0.689245, , 
619609, 315686, 31.77, 0.689730, , 
619140, 315829, 31.84, 0.692206, 15, 0.303
616609, 315722, 31.90, 0.699895, , 
617073, 315725, 31.97, 0.698375, , 
616841, 315784, 32.03, 0.699527, , 
613906, 315710, 32.10, 0.708806, , 
614364, 315721, 32.17, 0.707351, , 
613345, 315777, 32.23, 0.711111, , 
612219, 315826, 32.30, 0.715188, , 
612933, 315622, 32.37, 0.711481, , 
612541, 315736, 32.43, 0.713529, , 
611367, 315741, 32.50, 0.717487, , 
613740, 315793, 32.56, 0.709897, , 
